job;salary;id;city;year;age
Медсестра;109151;4814634;Санхенхо;2014;37
Водитель;136096;4377478;Баку;2010;23
Программист;23990;6234753;Скопье;2013;61
Водитель;34689;4478116;Фигерас;2009;53
Инженер;52939;9405810;Подгорица;2017;56
Повар;138639;2903985;Баку;2001;54
Продавец;164182;5180654;Гранада;2001;51
Менеджер;87058;5018335;Монсон;2012;40
Программист;184913;5024738;Прага;2013;60
Повар;22622;6831377;Осера;2019;36
Бухгалтер;190627;4231776;Навалькарнеро;2007;65
Водитель;193571;6827236;Сараево;2005;60
Врач;128949;4833628;Вальядолид;2012;50
Архитектор;132717;8448115;Минск;2016;24
Медсестра;121008;5755328;Овьедо;2004;47
Менеджер;111385;8865309;Сараево;2008;61
Продавец;107308;9432753;Ташкент;2007;31
Строитель;120336;3833375;Тбилиси;2000;32
Оператор call-центра;198932;2002892;Льейда;2016;53
Архитектор;196395;1248686;Лас-Росас;2004;43
Инженер;167837;6970463;Авилес;2017;50
Учитель;21886;9180973;Тарраса;2007;37
Продавец;54071;9181868;Виго;2008;42
Архитектор;190048;1138878;Навалькарнеро;2009;56
Медсестра;49230;9337177;Прага;2017;20
Бухгалтер;107448;6742855;Сараево;2016;32
Учитель;159401;7155090;Малага;2017;21
Менеджер;55433;4100240;Загреб;2002;56
Программист;93531;4287074;Алма-Ата;2017;43
Косметолог;131546;6168466;Сараево;2010;25
Инженер;151614;2540425;Севилья;2002;39
Учитель;73131;5351543;София;2018;36
Повар;99277;9638493;Севилья;2001;26
IT-специалист;111615;8756597;Осера;2011;49
Программист;103529;4353796;Аликанте;2020;65
Косметолог;103320;5305195;Аликанте;2015;63
Архитектор;69803;5606897;Хельсинки;2021;61
Врач;106877;8819489;Кишинев;2001;33
Оператор call-центра;86651;8215740;Трухильо;2001;45
Строитель;147836;6032735;Эльче;2010;20
Архитектор;159812;8413676;Сеговия;2001;61
Программист;22929;7527777;Санхенхо;2005;53
Врач;183723;4312877;Тарраса;2016;59
Водитель;187125;5304182;Сория;2003;46
Повар;51157;6712880;Сантьяго-де-Компостела;1999;29
Строитель;87868;1007168;Гранада;2012;56
Повар;141118;6733755;Аликанте;2019;65
Продавец;172821;1202781;Тарраса;2006;36
Продавец;130989;5243103;Камбадос;2018;32
Архитектор;183432;6721893;Афины;2002;42
Инженер;39553;9350743;Валенсия;2013;63
Косметолог;168718;6765233;Артейхо;2017;31
Бухгалтер;167691;6156574;Сан-Себастьян;2021;51
Психолог;73150;6366465;Кишинев;2007;22
Оператор call-центра;150083;2506814;Эльче;2016;53
Бухгалтер;179466;5295070;Бишкек;2018;35
Врач;110233;6109109;Ла-Корунья;2012;52
Бухгалтер;32062;5760294;Бильбао;2015;44
Программист;184105;9371297;Луго;2010;59
Косметолог;80447;5782801;Мартоса;2010;38
Учитель;154897;4993636;Хельсинки;2017;30
Оператор call-центра;162988;2466645;Ла-Корунья;2020;57
Продавец;31054;4917626;Ташкент;2002;42
Учитель;51825;4958603;Мадрид;2009;23
Психолог;48085;9985636;Хельсинки;2006;26
IT-специалист;80572;2848370;Мартоса;2009;19
Медсестра;64813;5893007;Сантьяго-де-Компостела;2017;33
Инженер;150331;5822888;Варшава;2010;65
Оператор call-центра;160958;5435867;Варшава;2017;37
IT-специалист;60982;6465685;Барселона;2012;50
Менеджер;161388;1890737;Луарка;2003;32
Врач;191492;4733935;Мурсия;2014;18
IT-специалист;146056;8785409;Тудела;2005;47
Бухгалтер;61785;7653037;Сьюдад-Реаль;1999;29
Продавец;103912;5613394;Бильбао;2020;63
Учитель;122048;9055194;Прага;2016;42
Архитектор;107107;5585315;Эль-Пуэрто-де-Санта-Мария;2006;26
Менеджер;138140;5379935;Луго;1999;33
Косметолог;169069;9374396;Хихон;2003;46
Бухгалтер;99060;1532595;Астана;2007;55
Бухгалтер;108848;6614334;Семана;2009;29
Архитектор;106320;4794570;Сан-Себастьян;2000;26
Водитель;117687;4647381;Аликанте;2003;42
Водитель;89764;8235219;Аликанте;2013;38
Оператор call-центра;80286;9673219;Сьюдад-Реаль;2016;48
Строитель;195777;3212212;Подгорица;2008;31
Повар;193629;7602577;Сория;2016;20
Оператор call-центра;151821;6598686;Астана;2005;18
Архитектор;39027;2749607;Картахена;1999;26
Оператор call-центра;129664;8454109;Краков;2004;60
Строитель;183477;8618798;Мурсия;2008;19
Водитель;130553;5687329;Авилес;2006;46
Психолог;171359;3817490;Подгорица;1999;47
Менеджер;167578;7321066;Камбадос;2020;50
Учитель;102144;8938593;Авилес;2003;25
Косметолог;152051;7115543;Барселона;2001;41
IT-специалист;49288;2901829;Подгорица;2011;56
Бухгалтер;136466;6900114;Сория;2007;63
Повар;172334;2511102;Луарка;2020;65
IT-специалист;183997;5296484;Прага;2000;29
Учитель;46010;1371223;Малага;2019;50
Менеджер;101195;8666425;Рига;1999;36
IT-специалист;42918;7381305;Мартоса;2002;26
Программист;179117;2130006;Бургос;2010;24
Менеджер;28592;4612769;Артейхо;2009;39
Водитель;145382;4851214;Мурсия;2021;60
Бухгалтер;65216;3375191;Бланес;2013;19
Менеджер;59887;5306232;Куэнка;2012;63
Медсестра;117511;8710657;Ереван;2013;53
Повар;47823;4130563;Санхенхо;2007;52
Учитель;105776;9210364;Сан-Себастьян;2019;25
Строитель;75979;6809849;Скопье;2016;46
IT-специалист;35819;8537496;Сория;2008;32
Продавец;94398;8327813;Будапешт;2016;52
Косметолог;128958;1786574;Рига;2020;33
Программист;189280;9047343;Прага;2002;47
Психолог;180276;6145885;Тбилиси;2006;25
Строитель;35101;2444289;Куэнка;2009;25
Повар;110450;2509137;Хихон;2022;19
Бухгалтер;26683;3885821;Алма-Ата;2019;41
Учитель;35078;8775345;Пласенсия;2007;61
